project_name	application_area	core_element	core_capability	funder	funder_type	funder_country	channel	recipient	recipient_type	recipient_country	amount_committed	amount_dispersed	year	data_source	row_id
NA	Infectious Disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Nigeria	Public sector	Nigeria	16745789	16745789	2012	GAVI	1876
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Armenia	Public sector	Armenia	1e+05	1e+05	2013	GAVI	1949
NA	Measles and/or Rubella	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Burundi	Public sector	Burundi	69717	69717	2012	GAVI	1752
NA	Infectious Disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Djibouti	Public sector	Djibouti	311183	544903	2015	GAVI	2602
NA	nonspecific	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Madagascar	Public sector	Madagascar	1645061	1634665	2015	GAVI	2723
NA	Infectious Disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Bolivia	Public sector	Bolivia	3759419	4363539	2014	GAVI	2232
NA	Infectious Disease, other	Prevent	Immunization	GAVI	Public-Private partnership	NA	GAVI	Sierra Leone	Public sector	Sierra Leone	1073839	1073839	2015	GAVI	2819
NA	Tuberculosis	Respond	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of California, Los Angeles (UCLA)	Academic and other research institutions	United States of America	NA	390894	2015	G-Finder	5721
NA	Infectious Disease, other	nonspecific	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Liverpool School of Tropical Medicine (LSTM)	Academic and other research institutions	England	NA	317356	2015	G-Finder	5719
NA	Diarrhoeal diseases	Prevent	Immunization	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Tel Aviv University	Academic and other research institutions	Israel	NA	139390.7	2015	G-Finder	7773
NA	Tuberculosis	Respond	nonspecific	Research Council of Norway	Public sector - Governments	Norway	NA	Oslo University Hospital, Oslo Universitetssykehus HF	Academic and other research institutions	Netherlands	NA	116066.88	2015	G-Finder	4945
NA	Malaria	Respond	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	450457	2015	G-Finder	6873
NA	Malaria	Prevent	Immunization	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	University of Lisbon, Universidade de Lisboa (including the Faculty of Medicine Institute of Molecular Medicine)	Academic and other research institutions	Portugual	NA	334388	2015	G-Finder	7284
NA	Tuberculosis	Prevent	Immunization	Australian Department of Industry	Public sector - Governments	Australia	NA	University of Melbourne	Academic and other research institutions	Austrailia	NA	60173.55	2015	G-Finder	4222
NA	Diarrhoeal diseases	Detect	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	California Institute of Technology	Academic and other research institutions	United States of America	NA	291250	2015	G-Finder	6531
NA	HIV/AIDS	Prevent	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Technical Resources International, Inc. (TRI)	Academic and other research institutions	United States of America	NA	727076	2015	G-Finder	7268
NA	HIV/AIDS	Prevent	Immunization	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Baylor College of Medicine	Academic and other research institutions	United States of America	NA	592984	2015	G-Finder	6839
NA	Tuberculosis	Prevent	Immunization	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Bangor University	Academic and other research institutions	Wales	NA	6567.07	2015	G-Finder	7634
NA	Tuberculosis	unspecified	unspecified	Indian Department of Biotechnology, Ministry of Science and Technology (DBT)	Public sector - Governments	India	NA	International Centre for Genetic Engineering and Biotechnology (ICGEB), India	Academic and other research institutions	India	NA	165286.75	2015	G-Finder	4741
NA	Diarrhoeal diseases	nonspecific	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Johns Hopkins University	Academic and other research institutions	United States of America	NA	397443	2015	G-Finder	6161
NA	Infectious Disease, other	Respond	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Adera	Academic and other research institutions	nonspecific	NA	264307.45	2015	G-Finder	7777
NA	NA	Respond	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	London School of Hygiene and Tropical Medicine (LSHTM)	Academic and other research institutions	England	NA	1190135	2015	G-Finder	5629
NA	Malaria	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of California Riverside	Academic and other research institutions	United States of America	NA	364505	2015	G-Finder	6323
NA	HIV/AIDS	Prevent	Immunization	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	4792395.51	2015	G-Finder	4603
NA	Tuberculosis	Prevent	Immunization	Science Foundation Ireland	Public sector - Governments	Ireland	NA	Science Foundation Ireland	Public sector	Ireland	NA	443610.18	2015	G-Finder	4858
NA	Tuberculosis	Respond	nonspecific	German Federal Ministry of Education and Research (BMBF)	Public sector - Governments	Germany	NA	Research Centre Borstel	Academic and other research institutions	Germany	NA	11091.14	2015	G-Finder	4657
NA	Infectious Disease, other	Detect	nonspecific	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	110911.42	2015	G-Finder	4894
NA	Malaria	nonspecific	nonspecific	Australian National Health and Medical Research Council (NHMRC)	Public sector - Governments	Australia	NA	The Walter and Eliza Hall Institute of Medical Research	Academic and other research institutions	Austrailia	NA	76746.85	2015	G-Finder	4253
NA	Tuberculosis	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Medical College of Wisconsin	Academic and other research institutions	United States of America	NA	191250	2015	G-Finder	7019
NA	Tuberculosis	Respond	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	University of Cape Town (UCT)	Academic and other research institutions	South Africa	NA	55455.71	2015	G-Finder	7416
NA	Infectious Disease, other	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Center for Infectious Disease Research (formerly Seattle Biomed, Seattle Biomedical Research Institute, SBRI)	Academic and other research institutions	United States of America	NA	89171	2015	G-Finder	5818
NA	NA	nonspecific	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Gothenburg University, Göteborgs Universitet	Academic and other research institutions	NA	NA	58950.53	2015	G-Finder	7732
NA	HIV/AIDS	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Rutgers The State University of New Jersey (including RBHS)	Academic and other research institutions	United States of America	NA	1009211	2015	G-Finder	6848
NA	Malaria	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of Iowa	Academic and other research institutions	United States of America	NA	188750	2015	G-Finder	5861
NA	Malaria	Detect	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	University of Tubingen	Academic and other research institutions	Germany	NA	31598.66	2015	G-Finder	7683
NA	Malaria	nonspecific	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	African Malaria Network Trust (AMANET)	Other	nonspecific	NA	37718.75	2015	G-Finder	7340
NA	HIV/AIDS	nonspecific	nonspecific	Indian Department of Biotechnology, Ministry of Science and Technology (DBT)	Public sector - Governments	India	NA	National AIDS Research Institute, Pune	Academic and other research institutions	India	NA	20064.09	2015	G-Finder	4837
NA	NA	Respond	nonspecific	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	408397	2015	G-Finder	7177
NA	Tuberculosis	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of Maryland, College Park	Academic and other research institutions	United States of America	NA	190000	2015	G-Finder	6799
NA	HIV/AIDS	nonspecific	nonspecific	Institut Pasteur	Public sector - Governments	France	NA	Institut Pasteur	Academic and other research institutions	France	NA	1983194.85	2015	G-Finder	4527
NA	NA	nonspecific	nonspecific	Argentinian Ministry of Science, Technology and Productive Innovation (MINCYT)	Public sector - Governments	Argentina	NA	Argentinian National Council for Scientific and Technical Research (CONICET)	Public sector	Argentina	NA	6865.47	2015	G-Finder	4186
NA	Tuberculosis	Respond	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	110867.05	2015	G-Finder	7829
NA	Malaria	nonspecific	nonspecific	Indian Department of Biotechnology, Ministry of Science and Technology (DBT)	Public sector - Governments	India	NA	Indian Institute of Integrative Medicine, Jammu	Academic and other research institutions	India	NA	300643.24	2015	G-Finder	4827
NA	HIV/AIDS	Detect	nonspecific	Indian Council of Medical Research (ICMR)	Public sector - Governments	India	NA	Seth Research Foundation (SRF)	Academic and other research institutions	India	NA	53235.96	2015	G-Finder	4841
NA	Diarrhoeal diseases	Prevent	Immunization	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Arizona State University	Academic and other research institutions	United States of America	NA	63068	2015	G-Finder	6721
NA	Tuberculosis	Respond	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Research Centre Borstel	Academic and other research institutions	Germany	NA	83163.6	2015	G-Finder	7496
NA	Diarrhoeal diseases	unspecified	unspecified	Indian Council of Medical Research (ICMR)	Public sector - Governments	India	NA	Christian Medical College, Vellore (CMC)	Academic and other research institutions	India	NA	759880.36	2015	G-Finder	4775
NA	Infectious Disease, other	Detect	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Foundation for Innovative New Diagnostics (FIND)	Public-Private partnership	Switzerland	NA	1400692	2015	G-Finder	5641
NA	HIV/AIDS	Prevent	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Case Western Reserve University	Academic and other research institutions	United States of America	NA	629748	2015	G-Finder	6257
NA	Malaria	Prevent	Immunization	US Agency for International Development (USAID)	Public sector - Governments	United States of America	NA	US Department of Defense (DOD)	Public sector	United States of America	NA	4105444	2015	G-Finder	5528
NA	Infectious Disease, other	Prevent	Immunization	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	872248	2015	G-Finder	7038
NA	nonspecific	unspecified	unspecified	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	107877.99	2015	G-Finder	7615
NA	Malaria	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Clemson University	Academic and other research institutions	United States of America	NA	74063	2015	G-Finder	6581
NA	Tuberculosis	nonspecific	nonspecific	Swedish Research Council	Public sector - Governments	Sweden	NA	Linkoping University	Academic and other research institutions	Sweden	NA	183470.36	2015	G-Finder	5021
NA	Tuberculosis	Respond	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	1786937	2015	G-Finder	7076
NA	HIV/AIDS	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of Colorado at Denver	Academic and other research institutions	United States of America	NA	964027	2015	G-Finder	6352
NA	Infectious Disease, other	nonspecific	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	University of Lisbon, Universidade de Lisboa (including the Faculty of Medicine Institute of Molecular Medicine)	Academic and other research institutions	Portugual	NA	31924.74	2015	G-Finder	7742
NA	nonspecific	unspecified	unspecified	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Miriam Hospital	Academic and other research institutions	United States of America	NA	533287	2015	G-Finder	6862
NA	Tuberculosis	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Beth Israel Deaconess Medical Center	Academic and other research institutions	United States of America	NA	182168	2015	G-Finder	6477
NA	Infectious Disease, other	Respond	nonspecific	Brazilian Support Foundation for Research in the State of Minas Gerais, Fundação de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG)	Public sector - Governments	Brazil	NA	Brazilian Federal University of Ouro Preto, Universidade Federal de Ouro Preto (UFOP)	Academic and other research institutions	Brazil	NA	14649.99	2015	G-Finder	4394
NA	Tuberculosis	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Vanderbilt University	Academic and other research institutions	United States of America	NA	812309	2015	G-Finder	5896
NA	nonspecific	unspecified	unspecified	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Cambodian Sihanouk Hospital Center of HOPE	Academic and other research institutions	Cambodia	NA	36711.68	2015	G-Finder	7810
NA	nonspecific	unspecified	unspecified	Swedish International Development Agency (SIDA)	Public sector - Governments	Sweden	NA	European & Developing Countries Clinical Trials Partnership (EDCTP)	Other	nonspecific	NA	2976446.39	2015	G-Finder	5008
NA	Malaria	Respond	nonspecific	Australian National Health and Medical Research Council (NHMRC)	Public sector - Governments	Australia	NA	University of Western Australia (UWA)	Academic and other research institutions	United States of America	NA	34671.25	2015	G-Finder	4296
NA	Infectious Disease, other	Prevent	Immunization	Argentinian Ministry of Science, Technology and Productive Innovation (MINCYT)	Public sector - Governments	Argentina	NA	University of Buenos Aires (Universidad de Buenos Aires)	Academic and other research institutions	Argentina	NA	4029.16	2015	G-Finder	4174
NA	Infectious Disease, other	unspecified	unspecified	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Icahn School of Medicine at Mount Sinai (ISMMS), formerly the Mount Sinai School of Medicine (MSSM)	Academic and other research institutions	United States of America	NA	365229	2015	G-Finder	6696
NA	Infectious Disease, other	nonspecific	nonspecific	Indian Council of Medical Research (ICMR)	Public sector - Governments	India	NA	Indian National Institute of Immunology	Academic and other research institutions	India	NA	11639.44	2015	G-Finder	4783
NA	Infectious Disease, other	nonspecific	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Philipps University of Marburg, Philipps-Universität Marburg	Academic and other research institutions	NA	NA	40773.26	2015	G-Finder	7920
NA	Infectious Disease, other	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of California Berkeley	Academic and other research institutions	United States of America	NA	736501	2015	G-Finder	6677
NA	NA	Respond	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Liverpool School of Tropical Medicine (LSTM)	Academic and other research institutions	England	NA	1697451.5	2015	G-Finder	5717
NA	HIV/AIDS	Respond	nonspecific	German Federal Ministry of Education and Research (BMBF)	Public sector - Governments	Germany	NA	Ludwig Maximilians University of Munich (LMU)	Academic and other research institutions	Germany	NA	412509.35	2015	G-Finder	4648
NA	Malaria	Respond	nonspecific	UK Department for International Development (DFID)	Public sector - Governments	United Kingdom	NA	Medicines for Malaria Venture (MMV)	Public-Private partnership	Switzerland	NA	13838063.18	2015	G-Finder	5217
NA	Infectious Disease, other	nonspecific	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Hospital for Sick Children	Academic and other research institutions	Canada	NA	810918	2015	G-Finder	6984
NA	Infectious Disease, other	unspecified	unspecified	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	Institute of Tropical Medicine Antwerp/Prince Leopold Institute of Tropical Medicine (ITM)	Academic and other research institutions	Belgium	NA	550061.85	2015	G-Finder	5947
NA	Tuberculosis	Respond	nonspecific	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	768863.04	2015	G-Finder	7175
NA	Tuberculosis	Prevent	Immunization	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Aston University	Academic and other research institutions	England	NA	44130.54	2015	G-Finder	7904
NA	Infectious Disease, other	Detect	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Mahidol University	Academic and other research institutions	Thailand	NA	80299.37	2015	G-Finder	7554
NA	HIV/AIDS	Prevent	Immunization	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Emory University	Academic and other research institutions	United States of America	NA	2940035	2015	G-Finder	6069
NA	HIV/AIDS	Prevent	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Multiple product developers	unspecified	nonspecific	NA	14860712	2015	G-Finder	6883
NA	Infectious Disease, other	Detect	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	Boston University (including Boston University Medical Campus, BUMC)	Academic and other research institutions	United States of America	NA	233739	2015	G-Finder	6999
NA	Tuberculosis	Detect	nonspecific	Damien Foundation (DFB)	Philanthropic	Belgium	NA	Institute of Tropical Medicine Antwerp/Prince Leopold Institute of Tropical Medicine (ITM)	Academic and other research institutions	Belgium	NA	19975.15	2015	G-Finder	4309
NA	Malaria	Prevent	Immunization	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	US Uniformed Services University of the Health Sciences	Academic and other research institutions	United States of America	NA	22000	2015	G-Finder	7220
NA	Infectious Disease, other	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of Georgia (UGA)	Academic and other research institutions	United States of America	NA	421992	2015	G-Finder	6188
NA	Tuberculosis	Detect	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	544034.92	2015	G-Finder	7929
NA	NA	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	New York University School of Medicine	Academic and other research institutions	United States of America	NA	422500	2015	G-Finder	6105
NA	Diarrhoeal diseases	Prevent	Immunization	National Research Foundation of Korea (NRF)	Public sector - Governments	South Korea	NA	International Vaccine Institute (IVI)	Public-Private partnership	nonspecific	NA	39351	2015	G-Finder	4878
NA	Infectious Disease, other	Detect	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	1805.64	2015	G-Finder	7826
NA	Infectious Disease, other	nonspecific	nonspecific	Leprosy Research Initiative (LRI)	Philanthropic	Netherlands	NA	Leiden University, Universiteit Leiden (including the Leiden University Medical Center)	Academic and other research institutions	Netherlands	NA	21966.01	2015	G-Finder	4919
NA	Tuberculosis	nonspecific	nonspecific	Fondation Mérieux	Philanthropic	France	NA	Fondation Mérieux	Other	France	NA	105752.93	2015	G-Finder	4611
NA	Tuberculosis	Respond	nonspecific	Argentinian Ministry of Science, Technology and Productive Innovation (MINCYT)	Public sector - Governments	Argentina	NA	National University of Rosario (Universidad Nacional de Rosario)	Academic and other research institutions	Argentina	NA	6865.47	2015	G-Finder	4205
NA	Malaria	Prevent	Zoonotic Disease	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of Maryland, College Park	Academic and other research institutions	United States of America	NA	291034	2015	G-Finder	6797
NA	Malaria	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	New York University School of Medicine	Academic and other research institutions	United States of America	NA	1350768	2015	G-Finder	6103
NA	Tuberculosis	Respond	nonspecific	European Commission (EC) (including the Directorate-General for Research and Innovation, and the Directorate-General for Development and Cooperation - EuropeAid)	Public sector - Governments	European Union	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	55455.71	2015	G-Finder	7885
NA	Infectious Disease, other	nonspecific	nonspecific	Bill & Melinda Gates Foundation	Philanthropic	United States of America	NA	Broad Institute	Academic and other research institutions	United States of America	NA	851338	2015	G-Finder	5957
NA	Infectious Disease, other	nonspecific	nonspecific	Brazilian Support Foundation for Research in the State of Bahia, Fundação de Amparo a Pesquisa do Estado da Bahia (FAPESB)	Public sector - Governments	Brazil	NA	Oswaldo Cruz Foundation (FIOCRUZ)	Academic and other research institutions	Brazil	NA	96365.9	2015	G-Finder	4332
NA	Infectious Disease, other	Detect	nonspecific	Institut Pasteur	Public sector - Governments	France	NA	Institut Pasteur	Academic and other research institutions	France	NA	181981.52	2015	G-Finder	4561
NA	Tuberculosis	Detect	nonspecific	Indian Department of Biotechnology, Ministry of Science and Technology (DBT)	Public sector - Governments	India	NA	Unspecified Recipients	unspecified	nonspecific	NA	57582.52	2015	G-Finder	4801
NA	Malaria	nonspecific	nonspecific	The Wellcome Trust	Philanthropic	United Kingdom	NA	University College London (UCL)	Academic and other research institutions	England	NA	61945.21	2015	G-Finder	5282
NA	Malaria	Prevent	Immunization	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	European Vaccine Initiative (EVI)	Public-Private partnership	nonspecific	NA	196709.58	2015	G-Finder	4864
NA	Infectious Disease, other	nonspecific	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	UNC Chapel Hill/Carolina Vaccine Institute	Academic and other research institutions	United States of America	NA	486990	2015	G-Finder	6505
NA	NA	nonspecific	nonspecific	The Wellcome Trust	Philanthropic	United Kingdom	NA	University of Manchester	Academic and other research institutions	England	NA	55770.73	2015	G-Finder	5401
NA	Malaria	Respond	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of South Florida	Academic and other research institutions	United States of America	NA	718381	2015	G-Finder	6408
NA	HIV/AIDS	Prevent	nonspecific	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of California, Merced	Academic and other research institutions	United States of America	NA	569206	2015	G-Finder	6914
NA	Diarrhoeal diseases	nonspecific	nonspecific	The Wellcome Trust	Philanthropic	United Kingdom	NA	International Centre for Diarrhoeal Diseases Research, Bangladesh (ICDDR,B)	Academic and other research institutions	Bangladesh	NA	192133.95	2015	G-Finder	5333
NA	Infectious Disease, other	Detect	nonspecific	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	Aggregate Pharmaceutical and Biotechnology Companies	Private sector	nonspecific	NA	649711.28	2015	G-Finder	5070
NA	Infectious Disease, other	unspecified	unspecified	US National Institutes of Health (NIH)	Public sector - Governments	United States of America	NA	University of North Carolina	Academic and other research institutions	United States of America	NA	76722	2015	G-Finder	5689
NA	Tuberculosis	nonspecific	nonspecific	German Federal Ministry of Health (BMG)	Public sector - Governments	Germany	NA	Research Centre Borstel	Academic and other research institutions	Germany	NA	3770988.18	2015	G-Finder	4658
Laboratory Twinning Project between the Istituto Zooprofilattico Sperimentale delle Venezie (IZSVe) in Italy and the Chinese Academy of Inspection and Quarantine (CAIQ)	nonspecific	Detect	Workforce Development	EU	Public sector	NA	OIE	IZSVe	Public sector	Italty	NA	132380	2014	OIE	1135268
Laboratory Twinning Project between the Aquaculture Pathology Laboratory in the USA and the Fish Health and Environmental Laboratory in Indonesia	nonspecific	Detect	Workforce Development	EU	Public sector	NA	OIE	Aquaculture Pathology Laboratory	Academic and other research institutions	USA	NA	7516721	2015	OIE	1135271
Organisation of 3rd Annual meeting of Deans of Schools and Faculties of Veterinary Medicine or Sciences in Southern and Eastern Africa	nonspecific	Detect	Workforce Development	EU	Public sector	NA	OIE	University of Pretoria	Academic and other research institutions	South Africa	NA	14762	2014	OIE	1135272
Development of a prioritisation and categorisation tool for aquatic animal diseases	nonspecific	Detect	Workforce Development	EU	Public sector	NA	OIE	Phylum	Private sector	France	NA	73766	2014	OIE	1135274
