project_name	application_area	core_element	core_capability	funder	funder_type	funder_country	channel	recipient	recipient_type	recipient_country	amount_committed	amount_dispersed	year	data_source	row_id
NA	Infectious disease, other	Prevent	Biosafety and Biosecurity	El Salvador	Public sector	El Salvador	NA	Niger	Public sector	Niger	31558.73	21337.3883443973	2015	simulated	NA
NA	Infectious disease, other	Prevent	Biosafety and Biosecurity	Denmark	Public sector	Denmark	NA	Uganda	Public sector	Uganda	326393	249579.011839553	2015	simulated	NA
NA	Infectious disease, other	Prevent	Biosafety and Biosecurity	Mexico	Public sector	Mexico	NA	Ukraine	Public sector	Ukraine	1099333.33	774791.245226219	2015	simulated	NA
NA	Infectious disease, other	Prevent	Biosafety and Biosecurity	Brazil	Public sector	Brazil	NA	Canada	Public sector	Canada	50947	34212.5589197128	2015	simulated	NA
NA	Infectious disease, other	Prevent	Biosafety and Biosecurity	Malaysia	Public sector	Malaysia	NA	Brazil	Public sector	Brazil	368742.24	323136.485539438	2015	simulated	NA
NA	nonspecific	Prevent	Biosafety and Biosecurity	Mexico	Public sector	Mexico	NA	Libya	Public sector	Libya	132573.33	114672.765289784	2015	simulated	NA
NA	nonspecific	Prevent	Biosafety and Biosecurity	Lebanon	Public sector	Lebanon	NA	Myanmar	Public sector	Myanmar	158500	150436.733549688	2015	simulated	NA
NA	nonspecific	Prevent	Biosafety and Biosecurity	Greece	Public sector	Greece	NA	Greenland	Public sector	Greenland	353252	271681.653713481	2015	simulated	NA
NA	nonspecific	Prevent	Immunization	Poland	Public sector	Poland	NA	Italy	Public sector	Italy	314000	253526.242908552	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	Denmark	Public sector	Denmark	NA	Ukraine	Public sector	Ukraine	152995.68	130791.763851361	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	United States	Public sector	United States	NA	Ukraine	Public sector	Ukraine	42515.55	39610.1703465111	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	United States	Public sector	United States	NA	Estonia	Public sector	Estonia	58627.13	61292.3167998034	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	United States	Public sector	United States	NA	Turkey	Public sector	Turkey	35581.49	39172.6155150322	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	United States	Public sector	United States	NA	Ukraine	Public sector	Ukraine	110396.79	75869.5849603892	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	United States	Public sector	United States	NA	Armenia	Public sector	Armenia	28576.66	24852.9424985135	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	United States	Public sector	United States	NA	Ukraine	Public sector	Ukraine	132380	126150.585955645	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	Israel	Public sector	Israel	NA	Gambia	Public sector	Gambia	92366	96491.418746765	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	Israel	Public sector	Israel	NA	Turkey	Public sector	Turkey	33640	30672.4656221045	2015	simulated	NA
NA	Infectious disease, other	Detect	National Laboratory System	Israel	Public sector	Israel	NA	Belize	Public sector	Belize	49341	35464.7848846806	2015	simulated	NA
NA	nonspecific	Detect	National Laboratory System	Israel	Public sector	Israel	NA	Mongolia	Public sector	Mongolia	101392	92823.572403764	2015	simulated	NA
NA	nonspecific	Detect	National Laboratory System	Korea	Public sector	Korea	NA	Botswana	Public sector	Botswana	52556	37184.2891102363	2015	simulated	NA
NA	nonspecific	Detect	National Laboratory System	Belgium	Public sector	Belgium	NA	Jamaica	Public sector	Jamaica	77367.53	67285.0596394013	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	Sweden	Public sector	Sweden	NA	Bulgaria	Public sector	Bulgaria	131127.24	106243.006935234	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Oman	Public sector	Oman	52472	40583.7150700878	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Ecuador	Public sector	Ecuador	83102.69	70084.2555736566	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Benin	Public sector	Benin	139656	160329.045403894	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Latvia	Public sector	Latvia	144850.21	150183.819143843	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Portugual	Public sector	Portugual	187923	154115.518455864	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Kenya	Public sector	Kenya	99607	109903.680740336	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Congo	Public sector	Congo	147470	131790.421398734	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	India	Public sector	India	88478	79934.6700654285	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	China	Public sector	China	NA	Oman	Public sector	Oman	38536.33	36109.3322771971	2015	simulated	NA
NA	HIV/AIDS	Detect	Real Time Surveillance	Fuji	Public sector	Fuji	NA	Portugual	Public sector	Portugual	74532.47	68532.4634214572	2015	simulated	NA
NA	Infectious disease, other	Detect	Real Time Surveillance	Egypt	Public sector	Egypt	NA	Kenya	Public sector	Kenya	189750	164665.672626249	2015	simulated	NA
NA	Infectious disease, other	Detect	Real Time Surveillance	United States	Public sector	United States	NA	Hungary	Public sector	Hungary	87500	74060.9576909029	2015	simulated	NA
NA	Infectious disease, other	Detect	Real Time Surveillance	United States	Public sector	United States	NA	Ireland	Public sector	Ireland	135115	119486.049704274	2015	simulated	NA
NA	nonspecific	Detect	Real Time Surveillance	Bill and Melinda Gates Foundation	Private sector	nonspecific	NA	Japan	Public sector	Japan	43536.06	32372.0187138068	2015	simulated	NA
NA	HIV/AIDS	Detect	Reporting	Germany	Public sector	Germany	NA	Poland	Public sector	Poland	103611	93252.6130215415	2015	simulated	NA
NA	HIV/AIDS	Detect	Reporting	Germany	Public sector	Germany	NA	India	Public sector	India	94120	93180.5482403506	2015	simulated	NA
NA	Tuberculosis	Detect	Reporting	Sweden	Public sector	Sweden	NA	India	Public sector	India	1e+05	94179.5610319764	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	China	Public sector	China	36778	32888.830335822	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	Somalia	Public sector	Somalia	33273.43	28302.9905228735	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	India	Public sector	India	45318	40978.5044299458	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	Bulgaria	Public sector	Bulgaria	191875	146528.741397833	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	Belize	Public sector	Belize	60693.3	64656.8212571517	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	Chile	Public sector	Chile	1e+05	91868.0201477966	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	Georgia	Public sector	Georgia	82601.96	76282.5627155511	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	United States	Public sector	United States	NA	Korea	Public sector	Korea	147630.45	120008.531163103	2015	simulated	NA
NA	HIV/AIDS	Detect	Workforce Development	Bill and Melinda Gates Foundation	Private sector	nonspecific	NA	Poland	Public sector	Poland	156037.95	142478.246723955	2015	simulated	NA
NA	Tuberculosis	Detect	Workforce Development	United States	Public sector	United States	NA	United States	Public sector	United States	132953.4	112732.905241679	2015	simulated	NA
NA	Tuberculosis	Detect	Workforce Development	Greenland	Public sector	Greenland	NA	Mexico	Public sector	Mexico	133385.4	147387.109578209	2015	simulated	NA
NA	nonspecific	Detect	Workforce Development	Portugual	Public sector	Portugual	NA	Malawi	Public sector	Malawi	60000	39406.3037344785	2015	simulated	NA
NA	Infectious disease, other	Detect	Workforce Development	Turkey	Public sector	Turkey	NA	Estonia	Public sector	Estonia	143398.52	152865.143669803	2015	simulated	NA
NA	Infectious disease, other	Detect	Workforce Development	Venezela	Public sector	Venezela	NA	United States	Public sector	United States	123445.43	114978.674109964	2015	simulated	NA
NA	Infectious disease, other	Detect	Workforce Development	Japan	Public sector	Japan	NA	Iraq	Public sector	Iraq	54062.89	49777.1190206933	2015	simulated	NA
NA	nonspecific	Respond	Preparedness	United States	Public sector	United States	NA	Argentina	Public sector	Argentina	1788627	2057046.11392409	2015	simulated	NA
NA	nonspecific	Respond	Preparedness	United States	Public sector	United States	NA	Uganda	Public sector	Uganda	115935.7	115774.963624904	2015	simulated	NA
NA	nonspecific	Respond	Preparedness	Japan	Public sector	Japan	NA	Georgia	Public sector	Georgia	205655.28	236265.486185756	2015	simulated	NA
NA	nonspecific	Respond	Preparedness	Japan	Public sector	Japan	NA	Iraq	Public sector	Iraq	191250	213282.680647973	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Ireland	Public sector	Ireland	1042877	1299644.399363	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Sierra Leone	Public sector	Sierra Leone	157504.17	184942.732842986	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Nigeria	Public sector	Nigeria	733460.67	797625.963501699	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Liberia	Public sector	Liberia	775000	998902.645137044	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Japan	Public sector	United States	NA	Nigeria	Public sector	Nigeria	196500	209431.188281495	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Liberia	Public sector	Liberia	182500	153356.390070694	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Sierra Leone	Public sector	Sierra Leone	5e+05	589171.304082428	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Guinea	Public sector	Guinea	253766	339427.08464683	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Venezela	Public sector	Venezela	NA	Nigeria	Public sector	Nigeria	262423.04	297273.508807682	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Mali	Public sector	Mali	558735	819811.902932897	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Mexico	Public sector	Mexico	NA	Mali	Public sector	Mali	1248017	1081888.35085085	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Italy	Public sector	Italy	117947.07	150670.953497301	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Senegal	Public sector	Senegal	240055	243681.338552309	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Liberia	Public sector	Liberia	249064	293478.271763573	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	United States	Public sector	United States	NA	Sierra Leone	Public sector	Sierra Leone	967400	936365.004149065	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Sierra Leone	Public sector	Sierra Leone	199378	190927.193911314	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Uganda	Public sector	Uganda	579000	432286.420863224	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Botswana	Public sector	Botswana	1363091	1625566.91619117	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Kenya	Public sector	Kenya	147896.07	185809.377155707	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Italy	Public sector	Italy	631325	889380.937736266	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Sierra Leone	Public sector	Sierra Leone	161191	213762.887698329	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Iraq	Public sector	Iraq	906100	1088424.68669906	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Canada	Public sector	Canada	NA	Bulgaria	Public sector	Bulgaria	594041	628156.011838147	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Germany	Public sector	Germany	NA	Sierra Leone	Public sector	Sierra Leone	350127	331357.598052956	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Norway	Public sector	Norway	NA	Sierra Leone	Public sector	Sierra Leone	149297	147293.306237777	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Korea	Public sector	Korea	NA	Sierra Leone	Public sector	Sierra Leone	1521314	1499129.8764824	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	Turkey	Public sector	Turkey	NA	Sierra Leone	Public sector	Sierra Leone	122000	158807.778376235	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	France	Public sector	France	NA	Mali	Public sector	Mali	195699	218531.92752921	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	France	Public sector	France	NA	Sierra Leone	Public sector	Sierra Leone	502635	572200.393055882	2015	simulated	NA
NA	Infectious disease, other	Respond	Emergency Response Operations	France	Public sector	France	NA	Uganda	Public sector	Uganda	448185	524421.698035961	2015	simulated	NA
NA	nonspecific	Respond	Emergency Response Operations	France	Public sector	France	NA	Kenya	Public sector	Kenya	1775268	1520797.60134078	2015	simulated	NA
NA	nonspecific	Respond	Emergency Response Operations	India	Public sector	India	NA	South Africa	Public sector	South Africa	396937	408928.685405291	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	United States	Public sector	United States	NA	United States	Public sector	United States	813711.45	1127242.01972165	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	United States	Public sector	United States	NA	Canada	Public sector	Canada	1e+06	1111856.69414066	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	United States	Public sector	United States	NA	Mexico	Public sector	Mexico	198750	162595.811047579	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	United States	Public sector	United States	NA	Israel	Public sector	Israel	120000	131894.942640807	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	India	Public sector	India	NA	Germany	Public sector	Germany	569206	527736.114040575	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	Mexico	Public sector	Mexico	NA	Lebanon	Public sector	Lebanon	119828	117775.021995206	2015	simulated	NA
NA	nonspecific	Respond	Linking Public Health and Security Authorities	Israel	Public sector	Israel	NA	Israel	Public sector	Israel	246458.15	305136.479673773	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Sierra Leone	Public sector	Sierra Leone	322528.96	272087.654203856	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Bulgaria	Public sector	Bulgaria	1013962	1361068.33746102	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Mali	Public sector	Mali	168916.84	243159.94982236	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Uganda	Public sector	Uganda	374321	374210.64685461	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Senegal	Public sector	Senegal	288528	383240.330247173	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Guinea	Public sector	Guinea	228432	269065.807092991	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Liberia	Public sector	Liberia	317356	331066.244464514	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Turkey	Public sector	Turkey	191556	147991.574749846	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Spain	Public sector	Spain	1736140	1501436.84836255	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	Portugual	Public sector	Portugual	299748	321135.211425191	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	United States	Public sector	United States	NA	United States	Public sector	United States	1819200	1699691.62659794	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	Israel	Public sector	Israel	NA	Germany	Public sector	Germany	118748.42	124789.988299794	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	Israel	Public sector	Israel	NA	South Africa	Public sector	South Africa	279115	335864.148513786	2015	simulated	NA
NA	Infectious disease, other	Respond	Medical Countermeasures and Personnel Deployment	Mexico	Public sector	Mexico	NA	Kenya	Public sector	Kenya	304500	343786.806061478	2015	simulated	NA
NA	nonspecific	Respond	Medical Countermeasures and Personnel Deployment	Malaysia	Public sector	Malaysia	NA	United States	Public sector	United States	403204	546095.758820808	2015	simulated	NA
NA	nonspecific	Respond	Risk Communication	Israel	Public sector	Israel	NA	Iraq	Public sector	Iraq	429000	568906.123568445	2015	simulated	NA
NA	HIV/AIDS	Respond	Risk Communication	Israel	Public sector	Israel	NA	United States	Public sector	United States	1020732	942621.52298958	2015	simulated	NA
NA	Infectious disease, other	Respond	Risk Communication	Israel	Public sector	Israel	NA	Israel	Public sector	Israel	225365.34	248166.354478803	2015	simulated	NA
NA	nonspecific	Respond	Risk Communication	Israel	Public sector	Israel	NA	Germany	Public sector	Germany	158012.17	203452.838600774	2015	simulated	NA
NA	nonspecific	Respond	Risk Communication	Venezela	Public sector	Venezela	NA	France	Public sector	France	460589	480283.819179477	2015	simulated	NA
NA	nonspecific	Respond	Risk Communication	Norway	Public sector	Norway	NA	Italty	Public sector	Italty	1046285	982282.144102203	2015	simulated	NA
NA	nonspecific	Other	Points of Entry (PoE)	United States	Public sector	United States	NA	United States	Public sector	United States	260021	264154.270946262	2015	simulated	NA
NA	Infectious disease, other	Other	Points of Entry (PoE)	Canada	Public sector	Canada	NA	Canada	Public sector	Canada	270000	269626.32409685	2015	simulated	NA
NA	nonspecific	Other	Points of Entry (PoE)	Mexico	Public sector	Mexico	NA	Mexico	Public sector	Mexico	86723.86	88434.1702859978	2015	simulated	NA
NA	nonspecific	Other	Points of Entry (PoE)	Germany	Public sector	Germany	NA	Israel	Public sector	Israel	119828	118860.409756883	2015	simulated	NA
NA	nonspecific	Other	Points of Entry (PoE)	France	Public sector	France	NA	France	Public sector	France	234792	236983.387112848	2015	simulated	NA
NA	nonspecific	Other	Chemical Events	France	Public sector	France	NA	Japan	Public sector	Japan	120500	121833.233438123	2015	simulated	NA
NA	nonspecific	Other	Radiation Emergencies	Japan	Public sector	Japan	NA	China	Public sector	China	67804.31	68417.5186759952	2015	simulated	NA
